Source	URL	Bias	Score
Euronews	https://mediabiasfactcheck.com/euronews/	LB	1.25
Every CRS Report	https://mediabiasfactcheck.com/every-crs-report/	LB	0
Fact Check	https://mediabiasfactcheck.com/factcheck/	LB	0
FactsCan	https://mediabiasfactcheck.com/factscan/	LB	0.25
Financal Express	https://mediabiasfactcheck.com/financial-express/	LB	1.5
Financal Times	https://mediabiasfactcheck.com/financial-times/	LB	0.75
Foreign Affairs	https://mediabiasfactcheck.com/foreign-affairs/	LB	1.5
Foreign Policy	https://mediabiasfactcheck.com/foreign-policy/	LB	1.75
Full Fact UK	https://mediabiasfactcheck.com/full-fact-uk/	LB	1
Gallup	https://mediabiasfactcheck.com/gallup/	LB	0.5
Global Integrity	https://mediabiasfactcheck.com/global-integrity/	LB	0.5
GoodNewsNetwork	https://mediabiasfactcheck.com/goodnewsnetwork/	LB	0.5
Government Executinve	https://mediabiasfactcheck.com/government-executive/	LB	0.75
GovTrack	https://mediabiasfactcheck.com/govtrack/	LB	0.25
Grabien News	https://mediabiasfactcheck.com/grabien-news/	LB	1
Harvard Gazette	https://mediabiasfactcheck.com/harvard-gazette/	LB	1.25
Harvard Political Review	https://mediabiasfactcheck.com/harvard-political-review/	LB	1.5
Hoax Slayer	https://mediabiasfactcheck.com/hoax-slayer/	LB	0.25
I24 News	https://mediabiasfactcheck.com/i24-news/	LB	1
Independent Voter Network (IVN)	https://mediabiasfactcheck.com/independent-voter-network-ivn/	LB	1.5
International Business Times	https://mediabiasfactcheck.com/international-business-times/	LB	3.25
International Consortium of Investigative Journalists	https://mediabiasfactcheck.com/international-consortium-of-investigative-journalists/	LB	0.5
International Energy Agency	https://mediabiasfactcheck.com/international-energy-agency-iea/	LB	1.75
International Organization	https://mediabiasfactcheck.com/international-organization/	LB	0.25
International Press Institute	https://mediabiasfactcheck.com/international-press-institute/	LB	0.25
International Rescue Committee	https://mediabiasfactcheck.com/international-rescue-committee-irc/	LB	1.25
Investigative Reporters and Editors	https://mediabiasfactcheck.com/investigative-reporters-and-editors/	LB	0.25
Janes 360	https://mediabiasfactcheck.com/ihs-janes-360/	LB	0.75
Jstor Daily	https://mediabiasfactcheck.com/jstore-daily/	LB	0
Kaiser Family Foundation	https://mediabiasfactcheck.com/kaiser-family-foundation/	LB	1.5
Maplight	https://mediabiasfactcheck.com/maplight/	LB	0.25
Mental Floss	https://mediabiasfactcheck.com/mental-floss/	LB	1
Mercopress	https://mediabiasfactcheck.com/mercopress/	LB	0.75
Metabunk	https://mediabiasfactcheck.com/metabunk/	LB	0.75
National Bureau of Economic Research	https://mediabiasfactcheck.com/national-bureau-of-economic-research-nber/	LB	0.5
National Journal	https://mediabiasfactcheck.com/national-journal/	LB	1.75
New America Foundation	https://mediabiasfactcheck.com/new-america/	LB	1
News24 (South Africa)	https://mediabiasfactcheck.com/news24-south-africa/	LB	1.25
Newsela	https://mediabiasfactcheck.com/newsela/	LB	1.5
NewsNow UK	https://mediabiasfactcheck.com/newsnow-uk/	LB	0.75
NextGOV	https://mediabiasfactcheck.com/nextgov/	LB	1.5
Novinite	https://mediabiasfactcheck.com/novinite/	LB	0.75
OneEighty	https://mediabiasfactcheck.com/oneeighty/	LB	0.25
Open the Government	https://mediabiasfactcheck.com/open-the-government/	LB	0.75
Parallax News	https://mediabiasfactcheck.com/parallax-news-pxw/	LB	0.75
Patheos	https://mediabiasfactcheck.com/patheos/	LB	0.75
Peterson Foundation	https://mediabiasfactcheck.com/peterson-foundation/	LB	1
Pew Research	https://mediabiasfactcheck.com/pew-research/	LB	0.25
Places Journal	https://mediabiasfactcheck.com/places-journal/	LB	1.25
Political Storm	https://mediabiasfactcheck.com/political-storm/	LB	1.25
Politifact	https://mediabiasfactcheck.com/politifact/	LB	1.75
Polygraph.info	https://mediabiasfactcheck.com/polygraph-info/	LB	0.25
Poynter Institute	https://mediabiasfactcheck.com/poynter-institute/	LB	1.25
Project on Government Insight	https://mediabiasfactcheck.com/project-on-government-oversight/	LB	0.5
Public Policy Polling	https://mediabiasfactcheck.com/public-policy-polling-ppp/	LB	0.5
Public Religion Research Institute	https://mediabiasfactcheck.com/public-religion-research-institute-prri/	LB	0.75
Reference News (Xinhua)	https://mediabiasfactcheck.com/reference-news-xinhua/	LB	1.5
Reporters Lab	https://mediabiasfactcheck.com/reporters-lab/	LB	0.25
Represent.us	https://mediabiasfactcheck.com/represent-us/	LB	1.75
Reuters	https://mediabiasfactcheck.com/reuters/	LB	0.5
Roll Call 	https://mediabiasfactcheck.com/roll-call/	LB	1.25
Science Debate	https://mediabiasfactcheck.com/science-debate/	LB	0
Scoopnest	https://mediabiasfactcheck.com/scoopnest/	LB	0.25
SCOTUSblog	https://mediabiasfactcheck.com/scotusblog/	LB	0.75
Snopes	https://mediabiasfactcheck.com/snopes/	LB	1
Stars and Stripes	https://mediabiasfactcheck.com/stars-and-stripes/	LB	0.5
Stimson Center	https://mediabiasfactcheck.com/stimson-center/	LB	0.75
Stock News USA	https://mediabiasfactcheck.com/stock-news-usa/	LB	1
Stratfor	https://mediabiasfactcheck.com/stratfor/	LB	1
Sunlight Foundation	https://mediabiasfactcheck.com/sunlight-foundation/	LB	0.25
Texas Tribune	https://mediabiasfactcheck.com/texas-tribune/	LB	1
That's Nonsense	https://mediabiasfactcheck.com/thats-nonsense/	LB	0.25
The Australian Finacial Review	https://mediabiasfactcheck.com/the-australian-financial-review/	LB	1.5
The Bureau of Investigative Journalism	https://mediabiasfactcheck.com/the-bureau-of-investigative-journalism/	LB	0.75
The Chronicle of Higher Education	https://mediabiasfactcheck.com/the-chronicle-of-higher-education/	LB	0.75
The Conversation	https://mediabiasfactcheck.com/the-conversation/	LB	0.75
The Diplomat Magazine	https://mediabiasfactcheck.com/the-diplomat-magazine/	LB	0.75
The Economist	https://mediabiasfactcheck.com/the-economist/	LB	0.75
The Fake News Codex	https://mediabiasfactcheck.com/the-fake-news-codex/	LB	0
The Humanist Magazine	https://mediabiasfactcheck.com/the-humanist-magazine/	LB	1.75
The Indian Express	https://mediabiasfactcheck.com/the-indian-express/	LB	0.75
The Jerusalem Post	https://mediabiasfactcheck.com/the-jerusalem-post/	LB	0.75
The Marshall Project	https://mediabiasfactcheck.com/the-marshall-project/	LB	0.75
The Middle East in London	https://mediabiasfactcheck.com/the-middle-east-in-london/	LB	1.75
The News (Mexico City)	https://mediabiasfactcheck.com/the-news-mexico-city/	LB	0.75
The Observatory	https://mediabiasfactcheck.com/the-observatory/	LB	0.75
The Outlook (Monmouth University)	https://mediabiasfactcheck.com/the-outlook-monmouth-university/	LB	1.25
The Phnom Penh Post	https://mediabiasfactcheck.com/the-phnom-penh-post/	LB	1
The Skimm	https://mediabiasfactcheck.com/the-skimm/	LB	1.25
The Swedish Wire	https://mediabiasfactcheck.com/the-swedish-wire/	LB	0.75
The Times of India	https://mediabiasfactcheck.com/times-of-india/	LB	0.75
The Whim	https://mediabiasfactcheck.com/the-whim/	LB	0.75
TheJournal.ie	https://mediabiasfactcheck.com/thejournal-ie/	LB	1.5
Third Way	https://mediabiasfactcheck.com/third-way/	LB	1.5
Transparency International	https://mediabiasfactcheck.com/transparency-international/	Lb	0.75
Transpartisan Review	https://mediabiasfactcheck.com/the-trump-media/	LB	0.75
Truth Be Told	https://mediabiasfactcheck.com/truth-be-told/	LB	1
Turkey and Facts	https://mediabiasfactcheck.com/turkey-and-facts-dogruluk-payi/	LB	0.25
TVW Washington State	https://mediabiasfactcheck.com/tvw-washington-state/	LB	0.5
United Press International (UPI)	https://mediabiasfactcheck.com/united-press-international-upi/	LB	1.25
USA Spending	https://mediabiasfactcheck.com/usa-spending/	LB	0.5
Vocativ	https://mediabiasfactcheck.com/vocativ/	LB	1.5
Voice of America	https://mediabiasfactcheck.com/voice-of-america/	LB	0.75
Voice of San Diego	https://mediabiasfactcheck.com/voice-of-san-diego/	LB	1.25
Vote Smart	https://mediabiasfactcheck.com/votesmart/	LB	0.75
War on the Rocks	https://mediabiasfactcheck.com/war-on-the-rocks/	LB	1.75
We are the Mighty	https://mediabiasfactcheck.com/we-are-the-mighty/	LB	1
Wikipedia	https://mediabiasfactcheck.com/wikipedia/	LB	1
Woodrow Wilson International Center	https://mediabiasfactcheck.com/woodrow-wilson-international-center-for-scholars/	LB	0.5
World News	https://mediabiasfactcheck.com/world-news/	LB	0.25
World Politics Review	https://mediabiasfactcheck.com/world-politics-review/	LB	0.75
World Press Review	https://mediabiasfactcheck.com/world-press-review/	LB	0.25
WRAL	https://mediabiasfactcheck.com/wral/	LB	0.75
Task and Purpose	https://mediabiasfactcheck.com/task-and-purpose/	LB	1
USAFacts	https://mediabiasfactcheck.com/usa-facts/	LB	0
RiverBender.com	https://mediabiasfactcheck.com/riverbender-com/	LB	0.5
Just Facts	https://mediabiasfactcheck.com/just-facts/	LB	3
Peterson Institute for International Economics	https://mediabiasfactcheck.com/peterson-institute-for-international-economics/	LB	1
STAT (News)	https://mediabiasfactcheck.com/stat-news/	LB	1.5
No Labels	https://mediabiasfactcheck.com/no-labels/	LB	0.75
Consumerist	https://mediabiasfactcheck.com/consumerist/	LB	1.25
ListVerse	https://mediabiasfactcheck.com/listverse/	LB	0.75
The Jakarta Post	https://mediabiasfactcheck.com/the-jakarta-post/	LB	0.25
Belfer Center for Science and International Affairs	https://mediabiasfactcheck.com/the-belfer-center-for-science-and-international-affairs/	LB	0.5
NHK World	https://mediabiasfactcheck.com/nhk-world/	LB	1
Congressional Budget Office (CBO)	https://mediabiasfactcheck.com/congressional-budget-office-cbo/	LB	0
St. Cloud Times	https://mediabiasfactcheck.com/st-cloud-times/	LB	1
New Bern Sun Journal	https://mediabiasfactcheck.com/new-bern-sun-journal/	LB	1
Politico	https://mediabiasfactcheck.com/politico/	LB	1.5
Des Moines Register	https://mediabiasfactcheck.com/the-des-moines-register/	LB	1.5
San Diego Union Tribune	https://mediabiasfactcheck.com/san-diego-union-tribune/	LB	1.75
Winston-Salem Journal	https://mediabiasfactcheck.com/winston-salem-journal/	LB	2
The Meme Policeman	https://mediabiasfactcheck.com/the-meme-policeman/	LB	1.25
Federal Times	https://mediabiasfactcheck.com/federal-times/	LB	0.25
World Economic Forum	https://mediabiasfactcheck.com/world-economic-forum/	LB	1.5
Washington Journal (C-Span)	https://mediabiasfactcheck.com/washington-journal/	LB	1
MLive (Michigan - Booth Newpapers)	https://mediabiasfactcheck.com/mlive-michigan-booth-newspapers/	LB	0.25
Sayfie Review	https://mediabiasfactcheck.com/sayfie-review/	LB	0.5
Amnesty International	https://mediabiasfactcheck.com/amnesty-international/	LB	1.75
Shareably	https://mediabiasfactcheck.com/shareably/	LB	0.25
Merion West	https://mediabiasfactcheck.com/merion-west/	LB	1.75
Business2Community	https://mediabiasfactcheck.com/business-2-community/	LB	1
Jewish Telegraphic Agency (JTA)	https://mediabiasfactcheck.com/jewish-telegraphic-agency-jta/	LB	1
Military.com	https://mediabiasfactcheck.com/military-com/	LB	1.5
National Institute on Money in State Politics	https://mediabiasfactcheck.com/national-institute-money-state-politics/	LB	1.5
BNO News	https://mediabiasfactcheck.com/bno-news/	LB	0.75
PR Newswire	https://mediabiasfactcheck.com/pr-newswire/	LB	0.25
The Knife	https://mediabiasfactcheck.com/the-knife/	LB	0.75
DPA German Press Agency	https://mediabiasfactcheck.com/dpa-german-press-agency/	LB	0.75
The Jordan Times	https://mediabiasfactcheck.com/the-jordan-times/	LB	1.25
Just Security	https://mediabiasfactcheck.com/just-security/	LB	1
Recode	https://mediabiasfactcheck.com/recode/	LB	0.25
Times of San Diego	https://mediabiasfactcheck.com/times-san-diego/	LB	1.5
South China Morning Post	https://mediabiasfactcheck.com/south-china-morning-post/	LB	1.5
Airwars	https://mediabiasfactcheck.com/airwars/	LB	0.25
Alliance For Securing Democracy	https://mediabiasfactcheck.com/alliance-securing-democracy/	LB	1.5
The Pantagraph	https://mediabiasfactcheck.com/the-pantagraph/	LB	1
The Cipher Brief	https://mediabiasfactcheck.com/the-cipher-brief/	LB	1
Viral Thread	https://mediabiasfactcheck.com/viral-thread/	LB	1.25
Noozhawk	https://mediabiasfactcheck.com/noozhawk/	LB	1.25
Know Your Meme	https://mediabiasfactcheck.com/know-your-meme/	LB	0.25
Taipei Times	https://mediabiasfactcheck.com/taipei-times/	LB	0.75
The China Post	https://mediabiasfactcheck.com/the-china-post/	LB	1
Texas Standard	https://mediabiasfactcheck.com/texas-standard/	LB	0.75
Investopedia	https://mediabiasfactcheck.com/investopedia/	LB	0.25
Lima Charlie News	https://mediabiasfactcheck.com/lima-charlie-news/	LB	1.25
EJ Insight	https://mediabiasfactcheck.com/ej-insight-eji/	LB	1.75
Daily Business Review	https://mediabiasfactcheck.com/daily-business-review/	LB	0.5
Bullshido	https://mediabiasfactcheck.com/bullshido/	LB	1.75
Project Syndicate	https://mediabiasfactcheck.com/project-syndicate/	LB	0.5
Utah Standard-Examiner	https://mediabiasfactcheck.com/utah-standard-examiner/	LB	1
The News International	https://mediabiasfactcheck.com/the-news-international/	LB	1.5
Taiwan News	https://mediabiasfactcheck.com/taiwan-news/	LB	1
Japan Times	https://mediabiasfactcheck.com/japan-times/	LB	0.5
True Viral News	https://mediabiasfactcheck.com/true-viral-news/	LB	0.75
Healthcare Finance News	https://mediabiasfactcheck.com/healthcare-finance-news/	LB	0.25
680 News	https://mediabiasfactcheck.com/680-news/	LB	0.75
India Today	https://mediabiasfactcheck.com/india-today/	LB	0.75
The ZDF (Zweites Deutsches Fernsehen)	https://mediabiasfactcheck.com/zdf-zweites-deutsches-fernsehen/	LB	1.5
SmartNews	https://mediabiasfactcheck.com/smartnews/	LB	1
The Register UK	https://mediabiasfactcheck.com/the-register-uk/	LB	0.75
News Lookup	https://mediabiasfactcheck.com/news-lookup/	LB	0
MediaShift	https://mediabiasfactcheck.com/mediashift/	LB	1
Darien Times	https://mediabiasfactcheck.com/darien-times/	LB	0.5
Procon.org	https://mediabiasfactcheck.com/procon-org/	LB	0.5
Wisconsin State Journal	https://mediabiasfactcheck.com/wisconsin-state-journal/	LB	0.75
La Devoir	https://mediabiasfactcheck.com/le-devoir/	LB	0.5
Canadian Public Affairs Channel (CPAC)	https://mediabiasfactcheck.com/canadian-public-affairs-channel-cpac/	LB	0.25
Asia Times	https://mediabiasfactcheck.com/asia-times/	LB	1.5
United State House of Representatives	https://mediabiasfactcheck.com/united-states-house-representatives-house-gov/	LB	0
Lincoln Journal Star	https://mediabiasfactcheck.com/lincoln-journal-star/	LB	0.75
APTN National News	https://mediabiasfactcheck.com/aptn-news/	LB	1
The Canadian Press	https://mediabiasfactcheck.com/the-canadian-press/	LB	1
Reporter Without Borders	https://mediabiasfactcheck.com/reporters-without-borders/	LB	2
The Scotsman	https://mediabiasfactcheck.com/the-scotsman/	LB	0.75
Sioux City Journal	https://mediabiasfactcheck.com/sioux-city-journal/	LB	1
Niskanen Center	https://mediabiasfactcheck.com/niskanen-center/	LB	1.75
Gears of Biz	https://mediabiasfactcheck.com/gears-of-biz/	LB	1
The News Literacy Project	https://mediabiasfactcheck.com/news-literacy-project/	LB	0.25
The Post and Courier	https://mediabiasfactcheck.com/the-post-and-courier/	LB	1.5
American Military News	https://mediabiasfactcheck.com/american-military-news/	LB	1.5
Center for Democracy and Technology	https://mediabiasfactcheck.com/center-democracy-technology/	LB	0.75
TruthorFiction.com	https://mediabiasfactcheck.com/truthorfiction-com/	LB	0.25
ERR News (Estonia Public Broadcasting)	https://mediabiasfactcheck.com/err-news-estonia-public-broadcasting/	LB	0.75
Memeorandum	https://mediabiasfactcheck.com/memeorandum/	LB	1.5
NationMaster	https://mediabiasfactcheck.com/nationmaster/	LB	0
The Sociable	https://mediabiasfactcheck.com/the-sociable/	LB	1
Vera Files	https://mediabiasfactcheck.com/vera-files/	LB	0.75
Doctors Without Borders	https://mediabiasfactcheck.com/doctors-without-borders/	LB	0.25
The Day (New London)	https://mediabiasfactcheck.com/day-new-london/	LB	1.5
Malaysia Today	https://mediabiasfactcheck.com/malaysia-today/	LB	1.5
The Balance	https://mediabiasfactcheck.com/the-balance/	LB	0.75
Eurasia Review	https://mediabiasfactcheck.com/eurasia-review/	LB	1.25
Fair Observer	https://mediabiasfactcheck.com/fair-observer/	LB	1.25
Relevant Magazine	https://mediabiasfactcheck.com/relevant-magazine/	LB	1.5
ABS-CBN	https://mediabiasfactcheck.com/abs-cbn-news/	LB	2
WikiTribune	https://mediabiasfactcheck.com/wikitribune/	LB	0.25
Factwire News Agency	https://mediabiasfactcheck.com/factwire-news-agency/	LB	0.25
Icitizen	https://mediabiasfactcheck.com/icitizen/	LB	0.75
TheWrap	https://mediabiasfactcheck.com/thewrap/	LB	2.25
American Heritage	https://mediabiasfactcheck.com/american-heritage/	LB	0.75
CP24	https://mediabiasfactcheck.com/cp24/	LB	1
Undark	https://mediabiasfactcheck.com/undark/	LB	2
Xinhua News Agency	https://mediabiasfactcheck.com/xinhua-news-agency/	LB	4
China Global Television Network	https://mediabiasfactcheck.com/china-global-television-network-cgtn/	LB	0.25
The Defcon Warning System	https://mediabiasfactcheck.com/defcon-warning-system/	LB	1
Tribune Content Agency	https://mediabiasfactcheck.com/tribune-news-service/	LB	1.75
RTE (Radio Television of Ireland)	https://mediabiasfactcheck.com/rte-radio-television-ireland/	LB	1
The TruthSetter	https://mediabiasfactcheck.com/the-truthsetter/	LB	0.25
Digital Journal	 https://mediabiasfactcheck.com/digital-journal/	LB	1
Free Wheel Media	https://mediabiasfactcheck.com/free-wheel-media/	LB	0.75
Lead Stories	https://mediabiasfactcheck.com/lead-stories/	LB	0.75
Harvard Business Review	https://mediabiasfactcheck.com/harvard-business-review/	LB	1
Crimeola	https://mediabiasfactcheck.com/crimeola/	LB	0.25
Capitol Fax	https://mediabiasfactcheck.com/capitol-fax/	LB	1
Consumer Reports	https://mediabiasfactcheck.com/consumer-reports/	LB	0.25
WikiNews	https://mediabiasfactcheck.com/wikinews/	LB	0.5
WION (World is One News)	https://mediabiasfactcheck.com/wion-world-one-news/	LB	1
First Draft News	https://mediabiasfactcheck.com/first-draft-news/	LB	0.75
ThoughtCo	https://mediabiasfactcheck.com/thoughtco/	LB	0
Alabama Today	https://mediabiasfactcheck.com/alabama-today/	LB	0.5
Need2Know	https://mediabiasfactcheck.com/need-2-know/	LB	2
Alabama Political Reporter	https://mediabiasfactcheck.com/alabama-political-reporter/	LB	1
The Morning Call	https://mediabiasfactcheck.com/the-morning-call/	LB	1
Courthouse News Service	https://mediabiasfactcheck.com/courthouse-news-service/	LB	0.25
Spectrum Report	https://mediabiasfactcheck.com/spectrum-report/	LB	0.25
Global Slavery Index	https://mediabiasfactcheck.com/global-slavery-index/	LB	0.25
Institute for Women's Policy Research (IWPR)	https://mediabiasfactcheck.com/institute-for-womens-policy-research-iwpr/	LB	1.5
AllGov	https://mediabiasfactcheck.com/allgov/	LB	0.25
New Zealand Herald	https://mediabiasfactcheck.com/new-zealand-herald/	LB	0.75
Shorenstein Center	https://mediabiasfactcheck.com/shorenstein-center/	LB	1
GBTimes	https://mediabiasfactcheck.com/gbtimes/	LB	0.5
Lompoc Record	https://mediabiasfactcheck.com/lompoc-record/	LB	0.5
Napa Valley Register	https://mediabiasfactcheck.com/napa-valley-register/	LB	1.25
Simple Politics	https://mediabiasfactcheck.com/simple-politics/	LB	0.25
Santa Maria Times	https://mediabiasfactcheck.com/santa-maria-times/	LB	1.25
Times-News (Idaho)	https://mediabiasfactcheck.com/times-news-idaho/	LB	1.25
Herald & Review	https://mediabiasfactcheck.com/herald-review-illinois/	LB	1.25
The Southern Illinoisan	https://mediabiasfactcheck.com/the-southern-illinoisan/	LB	1.25
Journal Gazette & Times-Courier	https://mediabiasfactcheck.com/journal-gazette-times-courier/	LB	1.25
Russian Media Monitor	https://mediabiasfactcheck.com/russian-media-monitor/	LB	2
Daily Journal (Illinois)	https://mediabiasfactcheck.com/daily-journal-illinois/	LB	0.5
Northwest Indiana Times	https://mediabiasfactcheck.com/northwest-indiana-times/	LB	1.25
Globe Gazette (Iowa)	https://mediabiasfactcheck.com/globe-gazette-iowa/	LB	1.25
The Waterloo-Cedar Falls Courier	https://mediabiasfactcheck.com/the-waterloo-cedar-falls-courier/	LB	1.25
Quad City Times	https://mediabiasfactcheck.com/quad-city-times/	LB	1.25
Knowhere	https://mediabiasfactcheck.com/knowhere/	LB	0.5
Winona Daily News	https://mediabiasfactcheck.com/winona-daily-news/	LB	1.25
World Resources Institute (WRI)	https://mediabiasfactcheck.com/world-resources-institute-wri/	LB	1
Daily Journal (Missouri)	https://mediabiasfactcheck.com/daily-journal-missouri/	LB	1.25
Constitution Daily	https://mediabiasfactcheck.com/constitution-daily/	LB	1
Montana Standard	https://mediabiasfactcheck.com/montana-standard/	LB	1.25
Independent Record (Montana)	https://mediabiasfactcheck.com/independent-record-montana/	LB	1.25
Elko Daily Free Press	https://mediabiasfactcheck.com/elko-daily-free-press/	LB	1.25
The Auburn Citizen	https://mediabiasfactcheck.com/the-auburn-citizen/	LB	1.25
The Daily Progress	https://mediabiasfactcheck.com/the-daily-progress/	LB	0.75
The Post Star	https://mediabiasfactcheck.com/the-post-star/	LB	1.25
Bismarck Tribune	https://mediabiasfactcheck.com/bismarck-tribune/	LB	1.25
Today I Found Out	https://mediabiasfactcheck.com/today-i-found-out/	LB	0.5
Albany Democrat-Herald	https://mediabiasfactcheck.com/albany-democrat-herald/	LB	1.25
The Sentinel (Pennsylvania)	https://mediabiasfactcheck.com/the-sentinel-pennsylvania/	LB	1.25
The Times and Democrat	https://mediabiasfactcheck.com/the-times-and-democrat/	LB	1.25
Rapid City Journal	https://mediabiasfactcheck.com/rapid-city-journal/	LB	1.25
The Daily News (Longview)	https://mediabiasfactcheck.com/the-daily-news-longview/	LB	1.25
Baxter Bulletin	https://mediabiasfactcheck.com/the-baxter-bulletin/	LB	0.5
Casper Star-Tribune	https://mediabiasfactcheck.com/casper-star-tribune/	LB	1.25
Patch	https://mediabiasfactcheck.com/patch/	LB	0.25
Idaho Statesman	https://mediabiasfactcheck.com/idaho-statesman/	LB	1.25
iMediaEthics	https://mediabiasfactcheck.com/imediaethics/	LB	1.25
Missoulian	https://mediabiasfactcheck.com/missoulian/	LB	1.25
Radio Free Europe / Radio Liberty	https://mediabiasfactcheck.com/radio-free-europe-radio-liberty/	LB	0.5
The Herald Journal (Utah)	https://mediabiasfactcheck.com/the-herald-journal-utah/	LB	0.5
Arizona Capitol Times	https://mediabiasfactcheck.com/arizona-capitol-times/	LB	0.5
The Strategy Bridge	https://mediabiasfactcheck.com/the-strategy-bridge/	LB	1
NK News	https://mediabiasfactcheck.com/nk-news/	LB	1.25
North Korea Times	https://mediabiasfactcheck.com/north-korea-times/	LB	1
Big News Network	https://mediabiasfactcheck.com/big-news-network/	LB	1
Vos Iz Neias	https://mediabiasfactcheck.com/vos-iz-neias/	LB	1
Asian News International	https://mediabiasfactcheck.com/asian-news-international-ani/	LB	1
The Elkhart Truth	https://mediabiasfactcheck.com/the-elkhart-truth/	LB	0.5
Pacific Daily News	https://mediabiasfactcheck.com/pacific-daily-news/	LB	1
Sarasota Herald-Tribune	https://mediabiasfactcheck.com/sarasota-herald-tribune/	LB	1
StrategyPage	https://mediabiasfactcheck.com/strategypage/	LB	1
Burnett County Sentinel	https://mediabiasfactcheck.com/burnett-county-sentinel/	LB	1.25
Rand Corporation	https://mediabiasfactcheck.com/rand-corporation/	LB	1.5
Jackson Sun	https://mediabiasfactcheck.com/jackson-sun/	LB	1.5
The Battlefords News Optimist	https://mediabiasfactcheck.com/battlefords-news-optimist/	LB	0.75
Concord Monitor	https://mediabiasfactcheck.com/concord-monitor/	LB	1.75
Pensacola News Journal	https://mediabiasfactcheck.com/pensacola-news-journal/	LB	1.5
Cape Cod Times	https://mediabiasfactcheck.com/cape-cod-times/	LB	1.5
Spectrum News - NY1	https://mediabiasfactcheck.com/spectrum-news-ny1/	LB	1
MakeUseOf	https://mediabiasfactcheck.com/makeuseof/	LB	0.5
Homeland Security News Wire	https://mediabiasfactcheck.com/homeland-security-news-wire/	LB	0.5
Oyez Project	https://mediabiasfactcheck.com/oyez-project/	LB	0.25
The Star Democrat	https://mediabiasfactcheck.com/the-star-democrat/	LB	1
South Bend Tribune	https://mediabiasfactcheck.com/south-bend-tribune/	LB	1.5
The Daily Northwestern	https://mediabiasfactcheck.com/the-daily-northwestern/	LB	1.5
All Generalizations are False	https://mediabiasfactcheck.com/all-generalzations-are-false/	LB	1.5
Erie Times-News	https://mediabiasfactcheck.com/erie-times-news/	LB	1.5
Knoxville News Senitinel	https://mediabiasfactcheck.com/knoxville-news-sentinel/	LB	1.25
The Times (Illinois)	https://mediabiasfactcheck.com/the-times-illinois/	LB	0.5
DifferenceBetween.net	https://mediabiasfactcheck.com/differencebetween-net/	LB	0.25
The Herald-Sun (Durham, North Carolina)	https://mediabiasfactcheck.com/the-herald-sun-durham-north-carolina/	LB	1.75
The Nevada Independent	https://mediabiasfactcheck.com/the-nevada-independent/	LB	1.75
Dayton Daily News	https://mediabiasfactcheck.com/dayton-daily-news/	LB	1.75
Federal News Radio	https://mediabiasfactcheck.com/federal-news-radio/	LB	0.25
Chinook Observer	https://mediabiasfactcheck.com/chinook-observer/	LB	1.25
Government Accountability Office (GAO)	https://mediabiasfactcheck.com/us-government-accountability-office-gao/	LB	0.25
Hastings Tribune	https://mediabiasfactcheck.com/hastings-tribune/	LB	0.25
Longview News-Journal	https://mediabiasfactcheck.com/longview-news-journal/	LB	1
The Daily Gazette	https://mediabiasfactcheck.com/the-daily-gazette/	LB	1
Green Bay Press-Gazette	https://mediabiasfactcheck.com/green-bay-press-gazette/	LB	1.5
Norfolk Daily News	https://mediabiasfactcheck.com/norfolk-daily-news/	LB	1
Traverse City Record-Eagle	https://mediabiasfactcheck.com/traverse-city-record-eagle/	LB	1.75
D.C. Circuit Breaker	https://mediabiasfactcheck.com/d-c-circuit-breaker/	LB	0.75
Justice Denied	https://mediabiasfactcheck.com/justice-denied/	LB	1
Pocono Record	https://mediabiasfactcheck.com/pocono-record/	LB	0.5
Greenville News	https://mediabiasfactcheck.com/greenville-news/	LB	1
The Herald-Dispatch	https://mediabiasfactcheck.com/the-herald-dispatch/	LB	1
The Post-Standard (Syracuse)	https://mediabiasfactcheck.com/the-post-standard-syracuse/	LB	0.75
Defense News	https://mediabiasfactcheck.com/defense-news/	LB	1.5
38 North	https://mediabiasfactcheck.com/38-north/	LB	1
The Moderated Media	https://mediabiasfactcheck.com/the-moderated-media/	LB	1.25
Washington's Top News (WTOP)	https://mediabiasfactcheck.com/washingtons-top-news-wtop/	LB	0.5
Statesville Record & Landmark	https://mediabiasfactcheck.com/statesville-record-landmark/	LB	1
Political Wire	https://mediabiasfactcheck.com/political-wire/	LB	1
The Daily Centrist	https://mediabiasfactcheck.com/the-daily-centrist/	LB	1.75
Biloxi Sun Herald	https://mediabiasfactcheck.com/biloxi-sun-herald/	LB	1
American Press Institute (API)	https://mediabiasfactcheck.com/american-press-institute-api/	LB	0.5
Belleville News-Democrat	https://mediabiasfactcheck.com/belleville-news-democrat/	LB	1.5
Newsguard	https://mediabiasfactcheck.com/newsguard/	LB	0.25
Inland Valley Bulletin	https://mediabiasfactcheck.com/inland-valley-daily-bulletin/	LB	1.25
The Journal Standard	https://mediabiasfactcheck.com/journal-standard/	LB	0.5
The Modesto Bee	https://mediabiasfactcheck.com/the-modesto-bee/	LB	1
Amarillo Globe-News	https://mediabiasfactcheck.com/amarillo-globe-news/	LB	1.5
San Marcos Daily Record	https://mediabiasfactcheck.com/san-marcos-daily-record/	LB	1
Denton Record-Chronicle	https://mediabiasfactcheck.com/denton-record-chronicle/	LB	1
Great Falls Tribune	https://mediabiasfactcheck.com/great-falls-tribune/	LB	1
